"","x","y","b3","b4","b5","catch_area","CG","CH","CH_0.5m","CH_1","CV","elevacao","slope","SPI","sw1","sw2","talhoes","TPS","TWI"
"1",838000.772959315,7584491.97778376,1.13874793052673,0.920398890972137,0.742770791053772,161.763656616211,0.00206348136998713,0,-84.8321075439453,-19.1613502502441,0.00102926942054182,743,0.00978534668684006,1.58296382427216,0.610068500041962,0.622931599617004,NA,4,10.2793874740601
"2",838010.772959315,7584491.97778376,1.14372479915619,0.924563825130463,0.747728049755096,165.421096801758,0.0114591289311647,-0.000593320466578007,-85.3276901245117,-19.1794719696045,0.00577074708417058,743,0.0405452027916908,6.71070909500122,0.616599798202515,0.629511952400208,NA,4,7.84092426300049
"3",838020.772959315,7584491.97778376,1.15045094490051,0.930504143238068,0.754355192184448,526.831604003906,-0.00688187312334776,-0.0406935662031174,-86.1248321533203,-19.4295425415039,0.000333100470015779,743,0.0788337364792824,41.618350982666,0.625364184379578,0.638409197330475,NA,4,7.63030481338501
"4",838030.772959315,7584491.97778376,1.15805745124817,0.937336385250092,0.761838376522064,375.491455078125,-0.00500013818964362,-0.0216257143765688,-87.4445953369141,-19.9156932830811,-0.000570656033232808,743,0.0355404131114483,13.3507423400879,0.63530158996582,0.648536205291748,NA,4,8.44345474243164
"5",838040.772959315,7584491.97778376,1.16565024852753,0.94417417049408,0.769323527812958,197.868362426758,0.00464247027412057,-0.00208499259315431,-88.4160308837891,-20.2275047302246,0.00243380689062178,742.427795410156,0.017853207886219,3.5329601764679,0.645288527011871,0.658740639686584,NA,4,8.65491580963135
"6",838050.772959315,7584491.97778376,1.17275667190552,0.950558185577393,0.776352941989899,202.526916503906,0.00726369954645634,-0.00100125942844898,-89.8890151977539,-20.9035530090332,0.00367979006841779,741.898315429688,0.0401249751448631,8.13075065612793,0.654714107513428,0.668393969535828,NA,4,8.1979513168335
"7",838060.772959315,7584491.97778376,1.1792334318161,0.956352829933167,0.782782971858978,364.472747802734,-0.0131769087165594,-0.00467061437666416,-90.8999404907227,-21.3801345825195,-0.00630846666172147,741.952331542969,0.0401878580451012,14.6552696228027,0.663377344608307,0.677286803722382,4,4,8.31997585296631
"8",838070.772959315,7584491.97778376,1.18509256839752,0.961572229862213,0.788619995117188,197.676193237305,-0.00250910967588425,-0.000889365212060511,-90.4894561767578,-20.6430473327637,-0.00120124046225101,741.074951171875,0.00765245826914907,1.51273834705353,0.671276390552521,0.685413420200348,4,4,10.8649644851685
"9",837890.772959315,7584481.97778376,1.13007950782776,0.914019763469696,0.731088161468506,246.341735839844,0.00907125789672136,0.0420108400285244,-85.1682434082031,-19.4768466949463,0.00214451644569635,741.953918457031,0.0549261458218098,13.544225692749,0.590382993221283,0.60074770450592,NA,4,7.98700714111328
"10",837900.772959315,7584481.97778376,1.12476801872253,0.90979677438736,0.725302696228027,242.446136474609,-0.00917852111160755,0,-85.7964096069336,-19.630859375,-0.00457826862111688,742.501403808594,0.0386387072503567,9.37246990203857,0.583000659942627,0.593707978725433,NA,4,8.12393379211426
